Vessel_ID,IATTC_Number.x,Vessel_Name.x,Call_Sign.x,Port_of_Registration.x,Port_of_Registration_State.x,Length.m.,Beam..m.,Depth..m.,Gross_Ton.mt.,Engine_Power.hp..x,Year_Built.x,Hull_Material.y,Fish.hold.volume..m3.,Gear.x
238075,NA,CAPTOR II,WDB4687,Coos Bay,OR,11.61231332,2.925937214,1.371533069,8,NA,1930,Wood,NA,NA
238150,10709,Norma Jean,WDC4569,Newport,OR,11.33,3.47,1.76,14,185,1939,Wood,16,Troll
238170,NA,David Alan,WA4250,Waldport,OR,12.07317073,NA,NA,17,NA,1939,Wood,NA,NA
238186,NA,Loree,WB7575,Port Angeles,WA,9.969512195,NA,NA,13,NA,1939,Wood,NA,NA
238231,12927,Monarch,WAW1834,Seattle,WA,12.8,3.65,1.21,15,160,1940,Wood,NA,Troll
238244,10081,Faith II,WDC6743,Coos Bay,OR,16.24,4.63,2.19,34,180,1939,Wood,42,Troll
238584,NA,EMPRESS,WDD5954,Fort Bragg,CA,13.04480341,3.840292594,1.95062481,22,85,1939,Wood,NA,NA
238869,12909,Steel Breeze,WDG7495,Ilwaco,WA,15.84,3.96,2.31,31,120,1923,Wood,NA,Multi-purpose
238884,NA,QUEST,WA9816,Westport,WA,13.80676623,4.388905821,2.133495885,33,NA,1939,Wood,NA,NA
238930,10865,Princess,WDG5770,Morro Bay,CA,14.63,3.93,2.01,24,225,1939,Wood,20,Troll
239084,NA,HARMONY,WDJ4527,Seattle,WA,21.48735142,5.851874429,2.743066138,90,NA,1939,Wood,NA,NA
239090,11323,Washington,WE7405,North Bend,WA,13.71,4.26,1.82,19,200,1939,Wood,11,Troll
239118,11243,Trade Wind,WD2996,Santa Cruz,CA,13.41,3.81,2.13,15,170,1939,Wood,8,Troll
239204,NA,Nyoda,WF2420,Tokeland,WA,13.7804878,#VALUE!,#VALUE!,22,NA,1939,Wood,NA,NA
239268,NA,ALICE M,WCZ7308,Coos Bay,OR,10.51508686,3.078329778,1.584882658,10,NA,1940,Wood,NA,NA
239413,NA,NELLIE M,WC5989,La Push,WA,10.81987199,3.10880829,1.767753734,17,NA,1940,Wood,NA,NA
239466,NA,J B,WDC8482,Seattle,WA,12.86193234,3.962206644,1.981103322,22,250,1940,Wood,NA,NA
239472,10253,Intrepid,WDG8625,Newport,OR,12.8,3.87,1.76,21,120,1940,Wood,NA,Troll
239523,14473,Ginger,WC8148,Westport,WA,13.71,3.65,2.04,16,125,1940,Wood,NA,Troll
239599,NA,PATRICIA,WDA7866,Crescent City,CA,12.80097531,3.779335568,1.859189272,21,NA,1940,Wood,NA,NA
239745,14117,Sea Lion II,WXAW,Newport,OR,10.45,3.35,1.37,10,NA,1940,Wood,NA,Troll
239792,NA,Lihue II,WB9212,Warrenton,OR,18.59756098,NA,NA,61,NA,1939,Wood,NA,NA
239888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wood,NA,NA
239928,NA,Mercury,WA8080,Seattle,WA,16.55487805,NA,NA,41,NA,1940,Wood,NA,NA
239949,NA,GAL,WDI5761,Newport,OR,10.8503505,3.200243828,1.676318196,12,120,1940,Wood,NA,NA
239952,9995,Donna Lee,WAW7913,Garibaldi,OR,9.75,3.26,2.07,12,165,1940,Wood,11,Multi-purpose
240081,7279,Terry S,WBT6929,Newport,OR,11.18,3.2,1.49,12,60,1940,Wood,4,Troll
240268,NA,ROAMER,WDB8500,Neah Bay,WA,10.33221579,3.291679366,1.584882658,15,NA,1940,Wood,NA,NA
240319,10301,Jessie B.,WSJ4601,Ilwaco,WA,12.43,3.84,1.4,18,110,1940,Wood,14,Troll
240332,12919,Spencer,WDE4424,Seattle,WA,10.97,3.2,1.61,11,91,1941,Wood,NA,Multi-purpose
240364,NA,DESTINY,WCZ6628,Homer,AK,15.63547699,4.541298385,2.163974398,41,300,1941,Wood,NA,NA
240380,13457,Zillah B,WDG8710,Bandon,OR,11.06,3.44,1.73,14,120,1941,Wood,NA,Troll
240425,10919,Roma,WCY6434,Newport,OR,11.55,3.65,1.73,15,120,1942,Wood,16,Troll
240436,NA,RAINBOW,WB5431,Charleston,OR,14.87351417,4.449862847,2.438281012,39,290,1941,Wood,NA,NA
240522,9817,Brejoh,WA3113,Newport,OR,11.27,3.35,1.37,9,130,1940,Wood,15,Troll
240574,NA,HORNET,WA5856,Newport,OR,13.98963731,3.657421518,1.462968607,17,165,1941,Wood,NA,NA
240585,10721,Nova,WDI2186,Winchester Bay,OR,16.18,4.66,2.28,36,170,1941,Wood,28,Troll
240653,15194,Tralee,,Coos Bay,OR,16.76,4.54,1.92,36,350,1941,Wood,NA,Multi-purpose
240655,11235,Tonto II,WDD7347,Moss Landing,CA,12.25,3.44,1.67,14,165,1941,Wood,11,Troll
240674,NA,EMMA H,WDA5415,Westport,WA,12.00853398,3.626943005,1.981103322,19,NA,1941,Wood,NA,NA
240678,NA,MELISSA JO,WDD5805,Bodega Bay,CA,11.18561414,3.383114904,1.828710759,15,90,1941,Wood,NA,NA
240741,NA,NILE II,WA8679,Newport,OR,11.49039927,3.444071929,1.706796708,15,NA,1941,Wood,NA,NA
240785,10059,Evening,WCZ7574,Westport,WA,13.22,3.2,1.4,13,108,1941,Wood,NA,Troll
240793,NA,MIGRANT,WA8154,Brookings,OR,12.25236208,3.505028955,1.828710759,18,NA,1941,Wood,NA,NA
240929,NA,ROYAL,WB9438,Newport,OR,13.22767449,3.992685157,1.828710759,19,100,1941,Wood,NA,NA
